site,A_orig,A_lower,A_upper,R0_orig,R0_lower,R0_upper,gamma_orig,gamma_lower,gamma_upper,k_orig,k_lower,k_upper,t0_orig,t0_lower,t0_upper,,,,,,,,,,
acute_myeloid_leukemia_aml,0.5583782444682719,0.46345037916642107,1.2521404715426683,88461.39823,7953.584050479782,14766.710411753695,1.4515092045580442,0.21769521746724396,0.32941876233725664,-1,8.154588115871775e-12,2.1514298120806075e-09,84.16085775228588,0.5858923997410841,3.483524477035317,,,,,,,,,,
chronic_lymphocytic_leukemia_cll,7.598263277992584e-07,6.819343391331539e-07,4.154685939981203e-06,72964.86403974949,8466.676392812311,10660.967490613286,5.280492054778272,0.3953087869110785,0.5293715031451853,-0.129305417,0.019530156571798685,0.014784073,66.02577522145249,4.111609587359425,3.267459899508353,,,,,,,,,,
chronic_myeloid_leukemia_cml,10.910648599487471,7.783930094408738,8.467521571398313,98161.35573,6798.557965889209,15106.91577459198,0.41516103142224325,0.093248972,0.21977058751005307,-0.249387728,0.7506122716306418,0.10514633246122215,87.60180025025755,3.3826625366100416,4.6103707690825075,,,,,,,,,,
colorectal_adenocarcinoma_mss,0.000139655,0.000102378,0.000344606,127902.3948456735,15806.552216339522,20296.903076686198,4.057305512219652,0.31641532656081095,0.3749358848265105,-0.066797153,0.015150901045344431,0.010776175736157093,62.79025922052989,12.197778743555702,8.432100551,,,,,,,,,,
diffuse_large_b_cell_lymphoma_dlbcl,0.13119596,0.099612903,0.26468700448004945,103583.79038094604,11723.548013252948,17424.389469764108,1.8787975043091247,0.18756739028733915,0.2584453336104806,-0.563477346,0.4365226535174559,0.23514007287076616,84.48948926834916,0.996720713,1.2916268783172171,,,,,,,,,,
follicular_lymphoma,1.8444223026132066e-05,5.880441175770398e-06,6.851658160512377e-06,290530.1116686658,22391.994322949962,34535.40521582536,3.5718575754016206,0.077108463,0.090966728,-0.091537618,0.009858125,0.008389713,75.51880023677467,1.6861299388159239,1.6606714747194644,,,,,,,,,,
gastric_adenocarcinoma,2.3746313344370833,2.088641471305473,10.532909582029392,53454.42013536513,6262.936608153803,7782.466766562742,1.813595826282505,0.2672219543759091,0.3958044674716401,-0.145458926,0.041713128,0.038603184,76.91045827207202,4.174143792457286,3.040937744169014,,,,,,,,,,
kidney_chromophobe_carcinoma,0.021710874489198964,0.015198649,0.028134801831895102,95161.47876,7223.734417440079,11890.741595280793,1.9269762467711022,0.16855282194436438,0.24606056876325355,-0.156150436,0.026072183529966125,0.021025474153537532,73.76677236341968,1.7779329775650723,1.7319430495940225,,,,,,,,,,
kidney_clear_cell_carcinoma,0.20331729652792901,0.16136712630112798,0.5027247365271834,65435.60419,5881.331365557213,8141.398673618496,2.4748450758925955,0.23443145445530789,0.31234727820994257,-0.149870038,0.024064438,0.018102413540051016,69.39910254939743,2.332321144462341,2.2185952395204964,,,,,,,,,,
kidney_papillary_carcinoma,431.09394492249646,410.9982292318506,5009.4477856797275,33203.29157632045,3320.6936264572905,3566.4137216225063,1.1610165239342654,0.4400184378729892,0.6086652111982047,-0.226053879,0.04533106,0.032152729,68.33786996512862,2.5753025883442717,2.1068772736610697,,,,,,,,,,
lung_adenocarcinoma,8.050645305163209e-10,7.196608947120635e-11,2.110790276120984e-11,359014.93815051095,15946.85181,22030.366790883534,6.44527726,0.014939374611329548,0.022746445760349232,-0.135501915,0.003990632,0.002882456,72.77528822817705,0.37342514601601806,0.35021768978903367,,,,,,,,,,
lung_squamous_cell_carcinoma,1.5725488640723048e-08,1.4492101520528925e-08,8.246174237426396e-08,65367.419217896284,8562.759331326532,9858.038974588606,6.449362219022157,0.3455502031573232,0.5456578842161095,-0.197584917,0.021895745989406162,0.020686743410242237,70.75222938007313,2.2321542294686765,1.453463241,,,,,,,,,,
malignant_gliomas_astrocytic_tumors,0.9751919403810996,0.7089728888145923,1.4022815124313348,91724.06835749518,9098.642711433393,14241.110762816155,1.3785668217170273,0.13971826685730582,0.22118698534643388,-0.228281702,0.026267368127495444,0.023306812854753223,80.55110199945136,1.1873956646103636,1.2069351507555837,,,,,,,,,,
melanoma_of_skin,88.57892648311181,72.29159647958664,158.0850496708976,67056.13657572844,4639.307506267323,8687.798293681757,0.956017199,0.19395716966791765,0.33073635072816854,-0.146958492,0.038975697,0.034925977290198015,79.32845528984149,2.5904521838899512,2.7203035047738098,,,,,,,,,,
multiple_myeloma,8.536462297200002e-07,5.922286368818673e-07,1.3392709871400822e-06,118430.35284191075,12000.686360706954,15964.27908353704,4.871141909939018,0.2034508943077702,0.27638765132311516,-0.110707031,0.016484603306057638,0.014323512,70.29248323522505,3.492200044310465,2.716906241311989,,,,,,,,,,
pancreatic_adenocarcinoma,2.4145037636152554e-09,1.4487265432743073e-09,2.940503793933191e-09,178356.77642029568,23185.374707985902,30146.534523769893,6.202046576456839,0.16363045770028872,0.2054322483380302,-0.120794838,0.009853069,0.008319631,69.00092876958296,1.9265304942492776,1.6705922942520175,,,,,,,,,,
small_cell_lung_carcinoma,2.2867306538031295e-12,9.048099636332054e-13,8.124051588411994e-11,288298.03024511127,63836.451342081855,36353.21606846491,7.751111498384484,0.8796481538232346,0.11510409413787048,-0.158920793,0.018043158,0.004140967,67.14368554321665,0.6018652954292918,3.800524647799037,,,,,,,,,,
soft_tissue_sarcomas,4.450688377,3.014895308793055,3.4947722483615733,93089.45490866191,6361.6087667738175,12439.930710390778,0.7303423248102807,0.095072829,0.19495331667843485,-0.277924956,0.23936683793720148,0.077005452,86.09952872300306,1.4975035284868454,2.230205515744103,,,,,,,,,,