site,A_orig,A_lower,A_upper,R0_orig,R0_lower,R0_upper,gamma_orig,gamma_lower,gamma_upper,k_orig,k_lower,k_upper,t0_orig,t0_lower,t0_upper
Acute myeloid leukemia,0.5583782444682719,0.460306040016811,1.2243463382539432,88461.3982321967,7934.484775648045,14495.98982194082,1.4515092045580442,0.21828370524602225,0.32402933282850044,-0.9999999999918453,8.154588115871775e-12,2.1315827991585934e-09,84.16085775228588,0.5847381127593394,3.43390976486927
Chronic lymphocytic leukemia,7.598263277992584e-07,6.814906112579866e-07,4.301373158775269e-06,72964.86403974949,8887.920754842671,10914.752523606498,5.280492054778272,0.4006945891331357,0.5219631919199994,-0.12930541689430944,0.019209016135332824,0.014622997709805505,66.02577522145249,4.161459415386759,3.17878678516594
Chronic myeloid leukemia,10.910648599487471,7.865983493509306,8.594358215693683,98161.3557344875,6802.210924050945,15365.193697648894,0.41516103142224325,0.09489285463789282,0.22468733108506866,-0.24938772829118627,0.7506122715802137,0.11189390082069006,87.60180025025755,3.315623084521391,4.660263854180002
Diffuse large B cell lymphoma,0.13119596048004,0.09949953594388751,0.26234269700141644,103583.79038094604,11898.451057336439,17544.186320242778,1.8787975043091247,0.18349344051197924,0.25626395140330205,-0.563477346482522,0.43652265351744834,0.23543638782828702,84.48948926834916,0.9872553529370549,1.3031647055794338
Follicular lymphoma,1.8444223026132066e-05,5.844167105204864e-06,7.347026399248963e-06,290530.1116686658,23341.92610111006,35521.783580666524,3.5718575754016206,0.07893354606389513,0.08871760853675337,-0.09153761829440024,0.00969609953586631,0.008135395815011229,75.51880023677467,1.5841156558627318,1.681820822246081
Multiple myeloma,8.536462297200002e-07,5.939253296574812e-07,1.3661116313315265e-06,118430.35284191075,12024.751656289009,15574.613849650152,4.871141909939018,0.20489792639872384,0.2800674659776803,-0.11070703092607645,0.016807347291060204,0.013982091272669611,70.29248323522505,3.5270523315509905,2.76302930105237
Lung adenocarcinoma,8.050645305163209e-10,8.066454070191183e-11,1.8747042604296278e-11,359014.93815051095,15295.343129998539,22731.631605966366,6.4452772603732,0.01419285430810202,0.024596176884955412,-0.1355019151575366,0.003986656685080331,0.002805770237349209,72.77528822817705,0.3889806618883398,0.3530830400699614
Lung squamous cell carcinoma,1.5725488640723048e-08,1.4427745622468285e-08,8.217079666459864e-08,65367.419217896284,8245.57446150267,9635.631392034542,6.449362219022157,0.3431437714276919,0.5432247991779748,-0.1975849174085542,0.021090902102121334,0.02059008252073219,70.75222938007313,2.2154674863403017,1.4071096856011849
Small cell lung carcinoma,2.2867306538031295e-12,8.941545699877318e-13,8.122799176161873e-11,288298.03024511127,63676.14088685138,34851.83423018985,7.751111498384484,0.8797325244275997,0.11506184076997084,-0.15892079317399466,0.018013920893782703,0.004148527042771077,67.14368554321665,0.6300552509615613,3.800498813671666
Kidney clear cell carcinoma,0.20331729652792901,0.16130951296275522,0.5450205192260387,65435.6041866738,6065.489191957757,7971.501200130246,2.4748450758925955,0.2437366501316216,0.30887616396992135,-0.14987003827610493,0.023538269378784227,0.01810601578053117,69.39910254939743,2.3438498873278064,2.222415166255061
Kidney papillary carcinoma,431.09394492249646,411.2032664182628,4967.343156087133,33203.29157632045,3292.8992425838296,3566.9408131642995,1.1610165239342654,0.43975044227444515,0.6147432870550416,-0.22605387924349235,0.04420856882426438,0.031605545002137525,68.33786996512862,2.5198063831670083,2.0584799851600053
Kidney chromophobe carcinoma,0.021710874489198964,0.015226464836691603,0.029077672143494562,95161.4787647174,7055.104506578049,12194.92218255502,1.9269762467711022,0.16795816865408608,0.24440952782434588,-0.15615043550538296,0.02658133048218067,0.021808185104415567,73.76677236341968,1.785401161536555,1.7454367270077853
Colorectal adenocarcinoma,0.00013965455139542665,0.00010181177876471652,0.0003494269648143866,127902.3948456735,15740.820060380953,21136.322202289477,4.057305512219652,0.319810142937226,0.3650584244645634,-0.06679715280406003,0.01600104786715764,0.011021157846896959,62.79025922052989,11.896002817636791,8.510228406952436
Gastric adenocarcinoma,2.3746313344370833,2.074390209074379,10.422483654268074,53454.42013536513,6299.120048285375,7766.981104991166,1.813595826282505,0.272663004156122,0.38884236804950145,-0.14545892597641877,0.040928100357916414,0.03880966792243774,76.91045827207202,4.088361394693365,3.0468298869735833
Pancreatic adenocarcinoma,2.4145037636152554e-09,1.4357753659557064e-09,2.9208309789194614e-09,178356.77642029568,23251.30773626166,29208.70987990938,6.202046576456839,0.1660968426919851,0.20035973928277784,-0.12079483811356495,0.009675142812769322,0.00811658723835762,69.00092876958296,1.930285551407536,1.6442594222738478
Melanoma of skin,88.57892648311181,71.7464260326357,166.14244938423482,67056.13657572844,4901.96943227978,8602.611817686236,0.956017198999282,0.20059786943286928,0.32999437627405415,-0.14695849176244785,0.039098243624999945,0.03531259941819735,79.32845528984149,2.708745853341995,2.690638573050677
Malignant gliomas,0.9751919403810996,0.697720510999607,1.3513052174837055,91724.06835749518,9157.776257095305,13735.786536811269,1.3785668217170273,0.1400178199626807,0.2138210931227087,-0.22828170166298598,0.025744585660555347,0.023364881380623453,80.55110199945136,1.210178992747558,1.1890899658565246
Soft tissue sarcomas,4.45068837710344,3.0313732046789124,3.64371649635026,93089.45490866191,6320.959323844829,12472.54984978294,0.7303423248102807,0.09682324687645405,0.19690309236701786,-0.27792495575302245,0.25696930034713705,0.07725776422405761,86.09952872300306,1.5389269838591417,2.3607669983042143
All sites,2.5224243936886412,1.8158057710564393,3.75392555841955,89902.5809888911,8910.148001103735,13318.98275057746,2.2197622885493913,0.14684314471995963,0.22114440834413474,-0.19827865739416708,0.033286002821454025,0.029975743759447115,82.31788966391807,1.7407145367329235,1.738254327644185
